0.3118359603 -0.0979987597 -0.2106272005 0.1114710512 -0.2144198280 -0.0924688478 -0.0144933646 0.1271775628 -0.0365180322 -0.2893222619 -0.3263097034 -0.4619043656 0.3924388784 -0.0484776175 -0.0355311346 0.0210240770 -0.0040038454 0.1587113252 0.3853868306 0.1696722411 
-0.2238898665 -0.1153580852 -0.3233905967 -0.1108759440 -0.1052299252 -0.0679272189 -0.0872014730 0.2167223166 -0.2566680559 0.1305076897 -0.3150503884 -0.2323613412 -0.3969357324 -0.1873417009 0.3478308614 -0.1318501152 -0.1155005943 -0.2068961353 -0.2294922182 0.2709848138 
0.0253635253 -0.3560181821 0.0428976210 -0.2452369316 0.2352220111 0.3959796533 -0.1201560916 0.2270069720 0.1826124084 -0.0311208182 0.2423354578 -0.1224349333 0.3218751283 -0.2261731829 0.0196808926 -0.0865291012 -0.0613513534 0.2412605225 -0.3748189262 0.2437262510 
0.1977244570 0.3646717563 0.1452345897 -0.1776004867 0.1118542246 -0.4120853719 -0.2998487860 -0.0899344465 -0.2378090566 -0.0314798475 -0.0532982260 0.1729838002 0.4368688499 -0.0100138457 0.1096166535 -0.0591558429 -0.1986200319 -0.1901953224 -0.2848470375 0.2035219392 
0.0389664012 -0.3900560245 0.1957026092 0.0947803206 -0.0376825376 -0.2203656102 -0.2288183717 -0.1743643828 0.2473497406 -0.1280294245 0.0818404870 0.0031137432 -0.0632173815 -0.0291995726 0.3018979589 0.5415752342 0.2796859270 -0.2649280943 0.0025865510 0.2105216857 
0.3818715777 0.3013096868 -0.0468937957 0.4487554022 0.1489861830 0.0116180060 0.0096185036 0.1368492708 0.1265355601 0.2613881617 -0.0058499283 0.1032831306 -0.1449015379 -0.4102486354 -0.0246876258 -0.0882203499 0.3812516732 0.0826543175 -0.0672813312 0.2630842585 
0.0431242619 0.2904549914 -0.3152519094 -0.0200831350 0.0165866669 0.1137661201 0.0998791223 -0.0044386636 -0.2598658420 -0.2579720696 0.4213425331 -0.0373450740 -0.0675873174 0.3875873829 0.3626207157 0.1540569553 0.2164453223 0.2693609473 -0.0521887234 0.2135995449 
0.1589678962 -0.3478811533 -0.3560163235 0.2153011177 -0.0606310323 -0.1087350589 0.0207148420 -0.2583825451 -0.0737001292 0.4837018329 0.0527891697 0.1921473924 0.0683613779 0.2568637868 -0.1747421622 0.1256667628 -0.3213145986 0.1850830706 -0.0644103784 0.2453210063 
-0.0157544087 -0.1086365887 0.0802649794 0.0903061024 -0.0249267497 -0.2496592767 0.3857382692 0.5047546795 0.0473962302 0.0301287879 0.3382412646 -0.0622857169 0.0891885880 0.2446349860 -0.1826140626 -0.1559795830 0.0080164318 -0.4516086006 0.0303481058 0.2344675231 
-0.0959591569 0.4103488724 -0.0874248845 -0.0768208322 -0.1784789967 0.0962804895 0.1464199330 -0.3630023969 0.4799155576 0.0812546301 0.1324822858 -0.4258610641 -0.0168339881 -0.0720178125 -0.0945843370 0.1065938174 -0.2480611625 -0.1782348260 -0.1163681043 0.2146497025 
